category,text
Нарушение правил содержания стройплощадок,Не убирают грязь от строительной техники на въезде/выезде строительной площадке
Нарушение правил содержания стройплощадок,"Добрый день! Хотелось бы обратиться с просьбой для решения проблемы по ограждению территории при сносе жилого дома. Пыль поднимается выше 3 этажа,.Прошу предпринять необходимые меры для устранения данного нарушения. Вся прилегающая территория, машины, здания и деревья в мелкодисперсной кирпичной и строительной пыли."
Нарушение правил содержания стройплощадок,Территория второй год захламлена строительным мусором! не восстановлен тротуар! с колясками ходить невозможно!
Нарушение правил содержания стройплощадок,Прилегающая территория к стройке загрязнена монтажной пеной со стройки.
Нарушение правил содержания стройплощадок,Разбросан мусор вдоль всего забора
Нарушение правил содержания стройплощадок,Постоянно разбросан мусор около строительного забора
Нарушение правил содержания стройплощадок,захламлена территория вдоль забора
Нарушение правил содержания стройплощадок,"После того как убрали ограждение строительной площадки остался строительный мусор, так же не был восстановлен тротуар который был за забором."
Нарушение правил содержания стройплощадок,"Вдоль забора разбросан строительный мусор (доски, поломанные кирпичи, куски бетона, куски асфальта, железо)"
Нарушение правил содержания стройплощадок,"По данному состоянию вещей я уже писала в Администрацию ,фото прикладывала, но положение не меняется, а становится только хуже. Мусорка жуткая по всему периметру, вал бревен, досок , железобетонных колец и иных бетонных форм по всей округе !"
Капитальный ремонт многоквартирного дома,"По адресу Республики 192 идёт кап ремонт . Работы выполнены не надлежащим образом . Перекрытия вместо забетониравания были запенены и положен очень тоненький слой цемента. Краска для труб отопления масляная , при включенном отоплении при обгорании задохнемся. Электричество при выполнении работ берут из квартир . Работники на нашем стояке работали 4 дня и некоторые были пьяны! Просим принять меры!"
Капитальный ремонт многоквартирного дома,"Капитальный ремонт дома был проведен в 2018 году. Однако отремонтировали только фасады по улице Республики и Челюскинцев. Во дворе дома ремонт был отложен из-за фундамента. Непонятно, почему фундамент не помешал ремонту фасадов с улиц. Прошу рассмотреть вопрос по продолжению ремонта со стороны двора в 2019 году. Фото состояния дома прилагается."
Капитальный ремонт многоквартирного дома,"В нашем доме идет ремонт крыши. С приходом дождя, у нас начало течь в комнате. 20 лет ничего не текло в квартире.Звоним в управляющую- говорят мы тут не причем. Звоним подрядчику-говорят звоните в управляющую. Позвонил прораб- сказал на крыше все сухо, ничего не вижу. Никто нам помочь не хочет,не приходит,акты не составляет,отправляют друг к другу. Фото,видео есть. Мне скоро рожать, куда дите везти?"
Капитальный ремонт многоквартирного дома,"Заменена крыша. Но водостоки не исправны, так как во время дождя вся вода льется по фасаду, по подоконикам. Обращение в тсж не привело ни к чему. Пришли, посмотрели и все."
Капитальный ремонт многоквартирного дома,"Ремонтные работы проводятся примерно 5 дней. На протяжении всех этих дней ненастная погода. 2.06.19 г. Примерно с 10 утра шел дождь ,включая и сильный ливень. Рабочие не приняли никаких мер по защите жильцов верхнего этажа от потопа. Затопило весь 9 этаж- 21 и 22 квартиру. И этаж ниже,т.к.приходили жильцы с 8-го этажа и помогали убирать воду. Просим принять меры к подрядчику. Есть видеосьемка"
Капитальный ремонт многоквартирного дома,"После проведения кап ремонта системы отопления, в отопительном сезоне 2018-2019 гг отсутствовала подача тепла в кухонном помещении по всему стояку дома (кв 49). В целях бесперебойной подачи отопления в новом отопительном сезоне, прошу принять необходимые меры по устранению причин, приведших к ухудшению работы системы отопления в подъезде № 3 многоквартирного дома по ул. Рижской, д.43"
Капитальный ремонт многоквартирного дома,В доме производят капремонт систем водоснабжения. В квартире на первом этаже (2 подъезд) слышен гул оборудования из подвала. В ночное время или когда тихо особенно слышно . Этот гул мешает (!).
Капитальный ремонт многоквартирного дома,"В данный момент в нашем доме ""проводится"" кап.ремонт крыши. И после малейших осадков внутри квартир мокнут стены(прилагаю фото внутри квартиры 119). Ещё в конце апреля на крышу подняли доски, и с тех пор никакого движения. А два дня назад в подъезде вода текла с потолка и струилась до четвертого этажа. Срок окончания работ на сайте указан 8 августа, то есть нам всё лето терпеть эти протечки?"
Капитальный ремонт многоквартирного дома,"И снова здравствуйте! Когда уже мы будем жить с одной действующей газовой трубой! Судя по последнему ответу, газ по новой трубе у нас идет с ноября 2018, а по факту ничего нет. Решите уже наконец этот вопрос!!!"
Капитальный ремонт многоквартирного дома,"В нашем доме в 2018 году планом капремонта был предусмотрен ремонт фасада, подвальных помещений и стояков отопления, но подвальные помещения ремонтировать не будут, мы просим за счет средств, выделенных на капремонт подвала установить в нашем доме систему погодного регулирования к прибору учета тепловой энергии, 75% жителей нашего дома пенсионеры и оплатить установку самостоятельно мы не сможем."
Капитальный ремонт многоквартирного дома,"Смету нам насчитали почти на 30 тысяч рублей, при том что мы сторонни компании приглашали для оценки оценки ремонта и нам выставили счета на суммы 160-170 тысяч рублей.Каким образом предполагают нам сделать этот ремонт без электрики и потолков, а так же без обработки от плесени?Каким образом мы должны проживать без света и почему за это время ничего до сих пор не сделано?Сколько мы должны ждать?"
Капитальный ремонт многоквартирного дома,"Здравствуйте! По окончании капитального ремонта в коридоре остались висеть неубранные провода от интернета, радиоточек и т.д. Заляпанные краской двери и косяки, щиты и т.д. остались не отмытыми. С учетом того, что и так рабы были выполнены не в срок когда будут устранены вышеуказанные недостатки??"
Капитальный ремонт многоквартирного дома,"Добрый день! В нашем доме проводился капремонт, а окна не помыли от строительной грязи, так и стоят новые окна с пятнами штукатурки! Также отсутствуют ограждения безопасности в оконных проемах третьего подъезда. Дети, подскользнувшись, запросто могут упасть. Необходимо восстановить ограждения, пока не произошло ЧП."
Капитальный ремонт многоквартирного дома,"с 21января2019 по 01апреля 2019 , по адресу Тюмень, ул. Холодильная д.136 - 5-ый угловой подъезд проводились работы по замене старого лифтового оборудования на новое. С 04 апреля 2019 появилось какое-то движение лифта, но он по настоящее время (05 апреля 2019) - не исправен, а именно 05 апреля 2019 - вообще встал. В кабине лифта отсутствует какая либо информация об обслуживающей организации."
